titleId,seasonNumber,title,date,av_rating,share,genres
tt0379632,5,Hustle,2009,8.5,0.04,"Crime,Drama,Mystery"
tt0874608,5,Inspector Lewis,2011,7.9013,0.08,"Crime,Drama,Mystery"
tt1489428,5,Justified,2014,8.6514,0.35,"Action,Crime,Drama"
tt1836037,5,Longmire,2016,8.9106,0.1,"Action,Crime,Drama"
tt0411008,5,Lost,2009,8.8167,6.18,"Adventure,Drama,Fantasy"
tt1492966,5,Louie,2015,8.4584,0.15,"Comedy,Drama"
tt0804503,5,Mad Men,2012,8.7263,1.45,Drama
tt1936532,5,Major Crimes,2016,8.4596,0.08,"Crime,Drama,Mystery"
tt0412175,5,Medium,2009,8.2591,0.16,"Crime,Drama,Fantasy"
tt1199099,5,Merlin,2013,8.4864,0.3,"Adventure,Drama,Fantasy"
tt1091909,5,Murdoch Mysteries,2012,8.009,0.17,"Crime,Drama,Mystery"
tt2281375,5,Nashville,2017,8.58,0.06,"Drama,Music,Romance"
tt1378167,5,NCIS: Los Angeles,2014,8.0364,0.23,"Crime,Drama,Mystery"
tt0361217,5,Nip/Tuck,2008,7.9022,0.55,Drama
tt0433309,5,Numb3rs,2009,7.8794,0.39,"Crime,Drama,Mystery"
tt1190689,5,Nurse Jackie,2013,8.1126,0.06,"Comedy,Drama"
tt0368530,5,One Tree Hill,2008,8.8716,0.51,"Drama,Romance,Sport"
tt2372162,5,Orange Is the New Black,2017,8.2242,0.54,"Comedy,Crime,Drama"
tt1416765,5,Parenthood,2013,8.4906,0.08,"Comedy,Drama"
tt1839578,5,Person of Interest,2016,9.3189,1.28,"Action,Crime,Drama"
tt1578873,5,Pretty Little Liars,2014,8.1185,0.59,"Drama,Mystery,Romance"
tt0455275,5,Prison Break,2017,8.5332,1.15,"Action,Crime,Drama"
tt0972412,5,Private Practice,2012,8.1677,0.23,"Comedy,Drama,Romance"
tt2249007,5,Ray Donovan,2017,8.0572,0.24,"Crime,Drama"
tt0381798,5,Rescue Me,2009,8.7877,0.03,"Comedy,Drama"
tt1551632,5,Rizzoli & Isles,2014,8.0163,0.16,"Crime,Drama,Mystery"
tt1442065,5,Rookie Blue,2014,8.8,0,"Crime,Drama"
tt1837576,5,Scandal,2016,7.8418,0.17,"Drama,Thriller"
tt1586680,5,Shameless,2015,8.9492,0.67,"Comedy,Drama"
tt0840196,5,Skins,2011,7.4275,0.15,Drama
tt1124373,5,Sons of Anarchy,2012,8.8271,1.41,"Crime,Drama,Thriller"
tt1299368,5,Southland,2013,8.5096,0.1,"Crime,Drama,Thriller"
tt0374455,5,Stargate: Atlantis,2008,7.9907,1.42,"Action,Adventure,Drama"
tt1632701,5,Suits,2015,9.3501,1.37,"Comedy,Drama"
tt0460681,5,Supernatural,2010,9.075,5.94,"Drama,Fantasy,Horror"
tt1567432,5,Teen Wolf,2015,8.8157,0.57,"Action,Comedy,Drama"
tt2149175,5,The Americans,2017,8.3003,0.33,"Crime,Drama,Mystery"
tt0458253,5,The Closer,2009,8.4455,0.24,"Crime,Drama,Mystery"
